2000,0,0,0,1,845
2000,0,0,1,0,201
2000,0,1,0,0,234
2000,1,0,0,0,1450
2000,1,0,0,1,277
2000,1,0,1,0,180
2000,1,1,0,0,274
2001,0,0,0,1,839
2001,0,0,1,0,307
2001,0,1,0,0,367
2001,1,0,0,0,1685
2001,1,0,0,1,279
2001,1,0,1,0,155
2001,1,1,0,0,310
2002,0,0,0,1,889
2002,0,0,1,0,285
2002,0,1,0,0,585
2002,1,0,0,0,1339
2002,1,0,0,1,301
2002,1,0,1,0,160
2002,1,1,0,0,327
2003,0,0,0,1,926
2003,0,0,1,0,303
2003,0,1,0,0,471
2003,1,0,0,0,2337
2003,1,0,0,1,259
2003,1,0,1,0,203
2003,1,1,0,0,229
2004,0,0,0,1,1150
2004,0,0,1,0,327
2004,0,1,0,0,696
2004,1,0,0,0,2136
2004,1,0,0,1,275
2004,1,0,1,0,172
2004,1,1,0,0,396
2005,0,0,0,1,1168
2005,0,0,1,0,430
2005,0,1,0,0,675
2005,1,0,0,0,3247
2005,1,0,0,1,294
2005,1,0,1,0,226
2005,1,1,0,0,461
2006,0,0,0,1,1155
2006,0,0,1,0,403
2006,0,1,0,0,755
2006,1,0,0,0,3097
2006,1,0,0,1,286
2006,1,0,1,0,288
2006,1,1,0,0,415
2007,0,0,0,1,1195
2007,0,0,1,0,405
2007,0,1,0,0,754
2007,1,0,0,0,3896
2007,1,0,0,1,283
2007,1,0,1,0,315
2007,1,1,0,0,497
2008,0,0,0,1,1209
2008,0,0,1,0,443
2008,0,1,0,0,807
2008,1,0,0,0,3508
2008,1,0,0,1,305
2008,1,0,1,0,330
2008,1,1,0,0,544
2009,0,0,0,1,1143
2009,0,0,1,0,447
2009,0,1,0,0,696
2009,1,0,0,0,3724
2009,1,0,0,1,290
2009,1,0,1,0,377
2009,1,1,0,0,591
2010,0,0,0,1,1214
2010,0,0,1,0,405
2010,0,1,0,0,759
2010,1,0,0,0,3719
2010,1,0,0,1,299
2010,1,0,1,0,402
2010,1,1,0,0,566
2011,0,0,0,1,1064
2011,0,0,1,0,465
2011,0,1,0,0,752
2011,1,0,0,0,4804
2011,1,0,0,1,308
2011,1,0,1,0,441
2011,1,1,0,0,672
2012,0,0,0,1,1174
2012,0,0,1,0,444
2012,0,1,0,0,703
2012,1,0,0,0,4163
2012,1,0,0,1,308
2012,1,0,1,0,589
2012,1,1,0,0,730
2013,0,0,0,1,1201
2013,0,0,1,0,487
2013,0,1,0,0,727
2013,1,0,0,0,5923
2013,1,0,0,1,314
2013,1,0,1,0,573
2013,1,1,0,0,761
2014,0,0,0,1,1220
2014,0,0,1,0,500
2014,0,1,0,0,770
2014,1,0,0,0,5165
2014,1,0,0,1,295
2014,1,0,1,0,500
2014,1,1,0,0,629
2015,0,0,0,1,1261
2015,0,0,1,0,505
2015,0,1,0,0,783
2015,1,0,0,0,6562
2015,1,0,0,1,315
2015,1,0,1,0,724
2015,1,1,0,0,578
2016,0,0,0,1,1241
2016,0,0,1,0,345
2016,0,1,0,0,720
2016,1,0,0,0,6070
2016,1,0,0,1,239
2016,1,0,1,0,572
2016,1,1,0,0,664
